#Field:count	sourceIPCount	endUserASN
257	2	5790
327	24	6039
215	1	6318
8665	33	6372
21103	113	6653
232	1	6667
3375	3	6820
4306714	31660	6848
549	4	7030
2954	101	7202
186	7	7224
85	2	7251
5957	10	7265
60	1	7310
14995	967	7511
500	3	7551
6988	109	7590
12676	621	7727
7421	1	7748
2426	20	7849
12	6	7965
35	2	7975
63138	119	8001
63	38	8003
213	3	8141
603	5	8292
20422	49	8470
70	3	8474
236	14	8549
14508	66	8636
1334	2	8662
3242	10	8692
236	2	8729
3782	9	8741
14226	14	8789
239	2	8832
386	4	8855
2967	26	8870
4350	10	8925
925	2	9221
17	6	9273
1642464	7422	9304
1503	81	9367
13807	633	9378
155	31	9591
404	74	9708
32697	1	9795
3	1	9890
78	2	9941
242	42	9962
44	5	9982
32	22	10073
183801	2	10082
400	4	10229
2843	1	10661
213774	723	10838
10833	34	10929
1740	7	10961
116	1	11043
24	1	11085
32154	17	11096
64720	620	11139
27	1	11153
71	2	11204
11279	149	11315
927	1	11446
288636	29	11486
879311	6	11520
7411	10	11521
836	2	11633
2518	2	11747
1115383	13039	11888
67812	6	11939
653	2	12036
117159	9	12047
6	1	12060
12841	5	12128
9077	1	12147
1315	1	12171
406	3	12260
1282	4	12314
1207	5	12513
78	1	12523
24622	10	12559
2151	33	12581
1543	4	12610
22920	6	12766
20300	188	12767
335	7	12842
101259	2040	12897
153	4	13095
263115	557	13110
2449	29	13247
886	4	13377
8691	3	13454
7953	55	13468
198032	681	13693
10994	1	13710
2	1	13712
4808	1	13769
795	2	13817
209560	3	13882
234063	4	13893
14	2	13914
841	3	13996
13267	1	14207
12059	122	14209
540	1	14240
277	3	14280
1968	4	14317
19	1	14336
56657	25	14454
34398	84	14464
7358	51	14559
82	10	14586
96	1	14747
798	6	14770
92	2	14929
150	3	14962
547908	237	15164
1824	1	15200
717	2	15213
14	6	15426
160096	265	15440
23343	37	15468
61195	174	15582
79635	3397	15589
1270	35	15673
2590	13	15675
204426	128	15695
689217	40855	15704
62	6	15790
1850484	9223	15802
